event_time,run_id,job_namespace,job_name,input_names,output_names,transform,columns_map,rowcount_in,rowcount_out,status,duration_ms
2025-08-16T22:33:21.086270,d7e4c6e5-b004-4d00-8ae4-aa275020f1b2,ecommerce,etl_orders,,,,,0,0,FAILED,6
2025-08-16T22:33:32.254589,d733a37b-0bb2-45bd-b241-39e274e2b268,ecommerce,etl_orders,,,,,0,0,FAILED,7
2025-08-16T22:33:43.307329,448012ff-3add-4013-949f-ff99cd5104c0,ecommerce,etl_orders,"orders.csv,customers.csv",orders_clean.csv,"join,calculate_net_amount,categorize_order_size",net_amount:quantity+unit_price+discount;total_value:quantity+unit_price;estimated_profit:net_amount;order_size_category:net_amount,45,25,COMPLETED,6
2025-08-16T22:33:48.586128,e88f93e7-a9f3-4edb-97cf-6f35354a6908,ecommerce,etl_customers_daily,"customers.csv,orders.csv",customers_daily.csv,"filter_active,hash_email,aggregate_orders,calculate_clv,categorize_engagement",email_hash:email;is_high_value:total_spent+total_orders;clv_score:total_spent+total_orders+total_quantity;engagement_level:total_orders,45,15,COMPLETED,10
2025-08-16T22:37:00.712592,8fc524fe-9238-488d-bc09-f963056b9532,ecommerce,etl_orders,"orders.csv,customers.csv",orders_clean.csv,"join,calculate_net_amount,categorize_order_size",net_amount:quantity+unit_price+discount;total_value:quantity+unit_price;estimated_profit:net_amount;order_size_category:net_amount,45,25,COMPLETED,11
2025-08-16T22:37:06.176257,6a74f5a1-ff78-4d81-bbc0-2a347867cec8,ecommerce,etl_customers_daily,"customers.csv,orders.csv",customers_daily.csv,"filter_active,hash_email,aggregate_orders,calculate_clv,categorize_engagement",email_hash:email;is_high_value:total_spent+total_orders;clv_score:total_spent+total_orders+total_quantity;engagement_level:total_orders,45,15,COMPLETED,7
2025-08-24T15:55:05.774190,a94945ad-6313-4909-b29b-50fbfd03f45b,ecommerce,etl_orders,"orders.csv,customers.csv",orders_clean.csv,"join,calculate_net_amount,categorize_order_size",net_amount:quantity+unit_price+discount;total_value:quantity+unit_price;estimated_profit:net_amount;order_size_category:net_amount,45,25,COMPLETED,13
2025-08-24T15:55:10.514802,42e4e669-7316-4336-b8fb-1842054951af,ecommerce,etl_customers_daily,"customers.csv,orders.csv",customers_daily.csv,"filter_active,hash_email,aggregate_orders,calculate_clv,categorize_engagement",email_hash:email;is_high_value:total_spent+total_orders;clv_score:total_spent+total_orders+total_quantity;engagement_level:total_orders,45,15,COMPLETED,12
2025-08-24T16:29:34.904071,c63866f4-b85b-43c5-bc69-b44cf61997e6,ecommerce,etl_orders,"orders.csv,customers.csv",orders_clean.csv,"join,calculate_net_amount,categorize_order_size",net_amount:quantity+unit_price+discount;total_value:quantity+unit_price;estimated_profit:net_amount;order_size_category:net_amount,45,25,COMPLETED,14
2025-08-24T16:29:54.093084,7d8b01dd-a881-4650-b6fa-3e1b067f1d26,ecommerce,etl_customers_daily,"customers.csv,orders.csv",customers_daily.csv,"filter_active,hash_email,aggregate_orders,calculate_clv,categorize_engagement",email_hash:email;is_high_value:total_spent+total_orders;clv_score:total_spent+total_orders+total_quantity;engagement_level:total_orders,45,15,COMPLETED,23
2025-08-24T21:42:53.419025,5302a2de-0ea7-4456-8ba1-c7997a6e8850,scalability_test,large_dataset_etl,"customers_large.csv,orders_large.csv",large_dataset_result.csv,"join,calculate_metrics,profit_analysis",net_amount:quantity+unit_price+discount;profit_margin:net_amount,60000,50000,COMPLETED,361
2025-08-24T21:42:53.431820,6be32d0e-cc87-4e5e-a6b2-02e1e91ae043,,,,,,,0,0,COMPLETED,5
2025-08-24T22:08:33.893832,61f0186c-dbf4-4f83-ad17-212864d56e61,ecommerce,etl_orders,"orders.csv,customers.csv",orders_clean.csv,"join,calculate_net_amount,categorize_order_size",net_amount:quantity+unit_price+discount;total_value:quantity+unit_price;estimated_profit:net_amount;order_size_category:net_amount,45,25,COMPLETED,16
2025-08-24T22:09:47.653852,84028cce-7d3b-417f-be6f-604e80247112,ecommerce,etl_customers_daily,"customers.csv,orders.csv",customers_daily.csv,"filter_active,hash_email,aggregate_orders,calculate_clv,categorize_engagement",email_hash:email;is_high_value:total_spent+total_orders;clv_score:total_spent+total_orders+total_quantity;engagement_level:total_orders,45,15,COMPLETED,14
